Date,Open,High,Low,Close,Volume
20060906,39.09,39.19,38.61,38.68,854016
20060907,38.57,38.9,38.36,38.48,1104182
20060908,38.54,38.82,38.46,38.72,812301
20060911,38.41,39.15,38.32,38.95,1332515
20060912,38.95,39.8,38.95,39.69,1144053
20060913,39.73,39.98,39.63,39.95,1074888
20060914,39.85,40.22,39.76,39.97,920840
20060915,40.34,40.46,40.0,40.1,1100308
20060918,40.12,40.4,39.94,40.12,1033676
20060919,40.25,40.25,39.52,39.85,1404186
20060920,40.2,40.54,40.19,40.45,1038531
20060921,40.52,40.67,40.08,40.17,1151164
20060922,40.16,40.16,38.84,39.87,921162
20060925,40.04,40.66,39.68,40.56,1291811
20060926,40.51,40.8,40.4,40.76,1040443
20060927,40.7,40.95,40.5,40.71,1012263
20060928,40.77,40.89,40.43,40.83,783479
20060929,40.89,40.93,40.62,40.64,778770
20061002,40.6,40.7,40.08,40.15,879071
20061003,40.05,40.48,39.88,40.33,1077370
20061004,40.22,41.31,40.14,41.31,1336504
20061005,41.29,41.56,41.18,41.49,823971
20061006,41.38,41.56,41.24,41.42,761408
20061009,41.37,41.74,41.32,41.54,577587
20061010,41.61,41.75,41.31,41.62,915136
20061011,41.43,41.83,41.17,41.53,1261207
20061012,41.76,42.25,41.7,42.2,836661
20061013,42.22,42.52,42.14,42.42,690457
20061016,42.43,42.62,42.4,42.46,569207
20061017,42.17,42.2,41.76,42.01,1288247
20061018,42.22,42.31,41.65,41.8,1041919
20061019,41.69,42.11,41.59,41.91,978875
20061020,42.06,42.06,41.64,41.99,940449
20061023,41.92,42.58,41.82,42.43,1183729
20061024,42.29,42.45,41.92,42.12,767265
20061025,42.15,42.52,42.05,42.42,1165034
20061026,42.57,42.92,42.22,42.82,1046987
20061027,42.73,42.82,42.08,42.22,1206181
20061030,42.17,42.65,40.2,42.48,964564
20061031,42.56,42.76,42.31,42.56,1284817
20061101,42.73,42.77,41.82,41.99,1290904
20061102,41.82,42.14,41.74,42.03,898161
20061103,42.1,42.7,41.61,41.92,865442
20061106,42.06,42.71,42.06,42.54,932062
20061107,42.53,43.09,42.04,42.82,1279233
20061108,42.58,43.2,42.47,43.02,1512255
20061109,43.27,43.5,42.67,42.82,1144882
20061110,42.83,43.04,42.67,43.03,718333
20061113,43.05,43.54,42.42,43.47,767496
20061114,43.5,43.97,42.43,43.93,987410
20061115,43.99,44.4,43.92,44.1,1049933
20061116,44.25,44.42,43.33,44.32,988718
20061117,44.07,44.29,43.95,44.28,765947
20061120,44.16,44.48,44.01,44.38,898794
20061121,44.42,45.4,44.25,44.46,589931
20061122,44.58,44.75,44.26,44.73,558099
20061124,44.39,44.86,44.38,44.65,428546
20061127,44.52,44.61,42.77,43.66,1409970
20061128,43.52,43.84,43.34,43.77,1104332
20061129,44.0,44.18,43.66,44.07,1206298
20061130,44.05,44.28,43.79,44.05,1116076
20061201,44.01,44.35,31.36,43.66,1367301
20061204,43.79,44.48,43.79,44.25,852325
20061205,44.4,44.97,44.19,44.41,783620
20061206,44.29,44.4,44.07,44.26,693221
20061207,44.34,44.95,43.7,43.7,1108716
20061208,43.57,44.26,43.47,43.9,1128151
20061211,43.83,44.37,43.75,44.05,658612
